style,id,name,type,category,package,ini,sound_count,translation,sound
numeric,-1,200,RANGE,EXTENDED,RBR,Extended.ini,1,200,200_1.ogg
numeric,-1,50,RANGE,EXTENDED,RBR,Extended.ini,1,50,50_1.ogg
numeric,-1,30,RANGE,EXTENDED,RBR,Extended.ini,1,30,30_1.ogg
numeric,-1,maybe,PACENOTE,MODIFIER,RBR,Extended.ini,1,Maybe,ehka1.ogg
numeric,-1,maybe,PACENOTE,ADDITIONAL,RBR,Extended.ini,1,Maybe,ehka1.ogg
numeric,-1,maybe,PACENOTE,ADDITIONAL,RBR,Extended.ini,1,Maybe,ehka2.ogg
numeric,-1,800,RANGE,EXTENDED,RBR,Extended.ini,1,800,800.ogg
numeric,-1,180,RANGE,EXTENDED,RBR,Extended.ini,1,180,180_1.ogg
numeric,-1,long,PACENOTE,MODIFIER,RBR,Extended.ini,1,Long,pitka.ogg
numeric,-1,100,RANGE,EXTENDED,RBR,Extended.ini,1,100,100_1.ogg
numeric,-1,60,RANGE,EXTENDED,RBR,Extended.ini,1,60,60_1.ogg
numeric,-1,wideout,PACENOTE,MODIFIER,RBR,Extended.ini,1,Widens,levenee.ogg
numeric,-1,400,RANGE,EXTENDED,RBR,Extended.ini,1,400,400_1.ogg
numeric,-1,tightensbad,PACENOTE,ADJECTIVES,RBR,Extended.ini,2,Tightens Bad,kirraa_kirraa.ogg
numeric,-1,tightensbad,PACENOTE,ADJECTIVES,RBR,Extended.ini,2,Tightens Bad,kirraa_kirraa_2.ogg
numeric,-1,120,RANGE,EXTENDED,RBR,Extended.ini,1,120,120_1.ogg
numeric,-1,dontcut,PACENOTE,MODIFIER,RBR,Extended.ini,1,Don't Cut,ala.ogg
numeric,-1,into,PACENOTE,LINKS,RBR,Extended.ini,2,Into,into1.ogg
numeric,-1,into,PACENOTE,LINKS,RBR,Extended.ini,2,Into,into2.ogg
numeric,-1,700,RANGE,EXTENDED,RBR,Extended.ini,1,700,700.ogg
numeric,-1,40,RANGE,EXTENDED,RBR,Extended.ini,1,40,40_1.ogg
numeric,-1,narrows,PACENOTE,MODIFIER,RBR,Extended.ini,1,Narrows,sumppu.ogg
numeric,-1,350,RANGE,EXTENDED,RBR,Extended.ini,1,350,350_1.ogg
numeric,-1,450,RANGE,EXTENDED,RBR,Extended.ini,1,450,450_1.ogg
numeric,-1,cut,PACENOTE,MODIFIER,RBR,Extended.ini,1,Cut,sisalta.ogg
numeric,-1,160,RANGE,EXTENDED,RBR,Extended.ini,1,160,160_1.ogg
numeric,-1,500,RANGE,EXTENDED,RBR,Extended.ini,1,500,500_1.ogg
numeric,-1,80,RANGE,EXTENDED,RBR,Extended.ini,1,80,80_1.ogg
numeric,-1,and,PACENOTE,LINKS,RBR,Extended.ini,2,And,jatkuu1.ogg
numeric,-1,and,PACENOTE,LINKS,RBR,Extended.ini,2,And,jatkuu2.ogg
numeric,-1,140,RANGE,EXTENDED,RBR,Extended.ini,1,140,140_1.ogg
numeric,-1,onto,PACENOTE,LINKS,RBR,Extended.ini,1,Onto,onto.ogg
numeric,-1,70,RANGE,EXTENDED,RBR,Extended.ini,1,70,70_1.ogg
numeric,-1,150,RANGE,EXTENDED,RBR,Extended.ini,1,150,150_1.ogg
numeric,-1,tightens,PACENOTE,MODIFIER,RBR,Extended.ini,1,Tightens,kirraa1.ogg
numeric,-1,tightensbad,PACENOTE,MODIFIER,RBR,Extended.ini,2,Double Tightens,kirraa_kirraa.ogg
numeric,-1,tightensbad,PACENOTE,MODIFIER,RBR,Extended.ini,2,Double Tightens,kirraa_kirraa_2.ogg
numeric,-1,600,RANGE,EXTENDED,RBR,Extended.ini,1,600,600.ogg
numeric,-1,caution_water,PACENOTE,CAUTIONS,RBR,Extended.ini,1,Caution Water,huomio_vetta.ogg
numeric,-1,900,RANGE,EXTENDED,RBR,Extended.ini,1,900,900.ogg
numeric,-1,250,RANGE,EXTENDED,RBR,Extended.ini,1,250,250_1.ogg
numeric,-1,300,RANGE,EXTENDED,RBR,Extended.ini,1,300,300_1.ogg
numeric,-1,1000,RANGE,EXTENDED,RBR,Extended.ini,1,1000,1000.ogg
numeric,0,one_left,PACENOTE,CORNERS,RBR,Numeric.ini,2,HP Left,vasen_tiukka1.ogg
numeric,0,one_left,PACENOTE,CORNERS,RBR,Numeric.ini,2,HP Left,vasen_tiukka2.ogg
numeric,1,square_left,PACENOTE,CORNERS,RBR,Numeric.ini,2,2 Left,vasen_kaks1.ogg
numeric,1,square_left,PACENOTE,CORNERS,RBR,Numeric.ini,2,2 Left,vasen_kaks2.ogg
numeric,2,three_left,PACENOTE,CORNERS,RBR,Numeric.ini,2,3 Left,vasen_kolme1.ogg
numeric,2,three_left,PACENOTE,CORNERS,RBR,Numeric.ini,2,3 Left,vasen_kolme2.ogg
numeric,3,four_left,PACENOTE,CORNERS,RBR,Numeric.ini,2,4 Left,vasen_nelja1.ogg
numeric,3,four_left,PACENOTE,CORNERS,RBR,Numeric.ini,2,4 Left,vasen_nelja2.ogg
numeric,4,five_left,PACENOTE,CORNERS,RBR,Numeric.ini,2,5 Left,vasen_viis1.ogg
numeric,4,five_left,PACENOTE,CORNERS,RBR,Numeric.ini,2,5 Left,vasen_viis2.ogg
numeric,5,six_left,PACENOTE,CORNERS,RBR,Numeric.ini,3,6 Left,vasen_kuus1.ogg
numeric,5,six_left,PACENOTE,CORNERS,RBR,Numeric.ini,3,6 Left,vasen_kuus2.ogg
numeric,5,six_left,PACENOTE,CORNERS,RBR,Numeric.ini,3,6 Left,vasen_kuus3.ogg
numeric,6,six_right,PACENOTE,CORNERS,RBR,Numeric.ini,2,6 Right,oikee_kuus1.ogg
numeric,6,six_right,PACENOTE,CORNERS,RBR,Numeric.ini,2,6 Right,oikee_kuus2.ogg
numeric,7,five_right,PACENOTE,CORNERS,RBR,Numeric.ini,2,5 Right,oikee_viis1.ogg
numeric,7,five_right,PACENOTE,CORNERS,RBR,Numeric.ini,2,5 Right,oikee_viis2.ogg
numeric,8,four_right,PACENOTE,CORNERS,RBR,Numeric.ini,2,4 Right,oikee_nelja1.ogg
numeric,8,four_right,PACENOTE,CORNERS,RBR,Numeric.ini,2,4 Right,oikee_nelja2.ogg
numeric,9,three_right,PACENOTE,CORNERS,RBR,Numeric.ini,2,3 Right,oikee_kolme1.ogg
numeric,9,three_right,PACENOTE,CORNERS,RBR,Numeric.ini,2,3 Right,oikee_kolme2.ogg
numeric,10,square_right,PACENOTE,CORNERS,RBR,Numeric.ini,2,2 Right,oikee_kaks1.ogg
numeric,10,square_right,PACENOTE,CORNERS,RBR,Numeric.ini,2,2 Right,oikee_kaks2.ogg
numeric,11,one_right,PACENOTE,CORNERS,RBR,Numeric.ini,2,HP Right,oikee_tiukka1.ogg
numeric,11,one_right,PACENOTE,CORNERS,RBR,Numeric.ini,2,HP Right,oikee_tiukka2.ogg
numeric,12,twisty,PACENOTE,LINE,RBR,Extended.ini,1,Twisty,suoraksi.ogg
numeric,14,narrows,PACENOTE,ADDITIONAL,RBR,Extended.ini,1,Narrows,sumppu.ogg
numeric,15,wideout,PACENOTE,ADDITIONAL,RBR,Extended.ini,1,Widens,levenee.ogg
numeric,16,overcrest,PACENOTE,OBSTACLES,RBR,Extended.ini,1,Over Crest,yli_nypyn.ogg
numeric,17,ford,PACENOTE,OBSTACLES,RBR,Extended.ini,1,Water,vetta.ogg
numeric,18,care,PACENOTE,CAUTIONS,RBR,Extended.ini,1,Care,varo1.ogg
numeric,19,bump,PACENOTE,OBSTACLES,RBR,Extended.ini,1,Bump,pomppu.ogg
numeric,20,jump,PACENOTE,OBSTACLES,RBR,Extended.ini,2,Jump,hyppy1.ogg
numeric,20,jump,PACENOTE,OBSTACLES,RBR,Extended.ini,2,Jump,hyppy2.ogg
numeric,22,finish,PACENOTE,LINKS,RBR,Extended.ini,1,Finish,maali.ogg
numeric,25,flat_right,PACENOTE,CORNERS,RBR,Numeric.ini,2,Flat Right,oikee_tays1.ogg
numeric,25,flat_right,PACENOTE,CORNERS,RBR,Numeric.ini,2,Flat Right,oikee_tays2.ogg
numeric,26,flat_left,PACENOTE,CORNERS,RBR,Numeric.ini,2,Flat Left,vasen_tays1.ogg
