style,id,name,type,category,package,ini,sound_count,translation,sound
descriptive,-1,180,RANGE,EXTENDED,RBR,Extended.ini,1,180,180.ogg
descriptive,-1,cut,PACENOTE,MODIFIER,RBR,Extended.ini,1,,cut.ogg
descriptive,-1,60,RANGE,EXTENDED,RBR,Extended.ini,1,60,60.ogg
descriptive,-1,300,RANGE,EXTENDED,RBR,Extended.ini,1,300,300.ogg
descriptive,-1,500,RANGE,EXTENDED,RBR,Extended.ini,1,500,500.ogg
descriptive,-1,onto,PACENOTE,LINKS,RBR,Extended.ini,1,,onto.ogg
descriptive,-1,and,PACENOTE,LINKS,RBR,Extended.ini,1,,and.ogg
descriptive,-1,900,RANGE,EXTENDED,RBR,Extended.ini,1,900,900.ogg
descriptive,-1,150,RANGE,EXTENDED,RBR,Extended.ini,1,150,150.ogg
descriptive,-1,caution_water,PACENOTE,CAUTIONS,RBR,Extended.ini,1,,caution_water.ogg
descriptive,-1,600,RANGE,EXTENDED,RBR,Extended.ini,1,600,600.ogg
descriptive,-1,100,RANGE,EXTENDED,RBR,Extended.ini,1,100,100.ogg
descriptive,-1,50,RANGE,EXTENDED,RBR,Extended.ini,1,50,50.ogg
descriptive,-1,80,RANGE,EXTENDED,RBR,Extended.ini,1,80,80.ogg
descriptive,-1,30,RANGE,EXTENDED,RBR,Extended.ini,1,30,30.ogg
descriptive,-1,tightensbad,PACENOTE,MODIFIER,RBR,Extended.ini,1,,tightensbad.ogg
descriptive,-1,140,RANGE,EXTENDED,RBR,Extended.ini,1,140,140.ogg
descriptive,-1,wideout,PACENOTE,MODIFIER,RBR,Extended.ini,1,,wideout.ogg
descriptive,-1,into,PACENOTE,LINKS,RBR,Extended.ini,1,,into.ogg
descriptive,-1,350,RANGE,EXTENDED,RBR,Extended.ini,1,350,350.ogg
descriptive,-1,maybe,PACENOTE,MODIFIER,RBR,Extended.ini,1,,maybe.ogg
descriptive,-1,1000,RANGE,EXTENDED,RBR,Extended.ini,1,1000,1000.ogg
descriptive,-1,700,RANGE,EXTENDED,RBR,Extended.ini,1,700,700.ogg
descriptive,-1,long,PACENOTE,MODIFIER,RBR,Extended.ini,1,,long.ogg
descriptive,-1,120,RANGE,EXTENDED,RBR,Extended.ini,1,120,120.ogg
descriptive,-1,400,RANGE,EXTENDED,RBR,Extended.ini,1,400,400.ogg
descriptive,-1,450,RANGE,EXTENDED,RBR,Extended.ini,1,450,450.ogg
descriptive,-1,200,RANGE,EXTENDED,RBR,Extended.ini,1,200,200.ogg
descriptive,-1,dontcut,PACENOTE,MODIFIER,RBR,Extended.ini,1,,dontcut.ogg
descriptive,-1,narrows,PACENOTE,MODIFIER,RBR,Extended.ini,1,,narrows.ogg
descriptive,-1,250,RANGE,EXTENDED,RBR,Extended.ini,1,250,250.ogg
descriptive,-1,160,RANGE,EXTENDED,RBR,Extended.ini,1,160,160.ogg
descriptive,-1,800,RANGE,EXTENDED,RBR,Extended.ini,1,800,800.ogg
descriptive,-1,40,RANGE,EXTENDED,RBR,Extended.ini,1,40,40.ogg
descriptive,-1,70,RANGE,EXTENDED,RBR,Extended.ini,1,70,70.ogg
descriptive,-1,tightens,PACENOTE,MODIFIER,RBR,Extended.ini,1,,tightens.ogg
descriptive,0,one_left,PACENOTE,CORNERS,RBR,Numeric.ini,1,,hairpin_left.ogg
descriptive,1,square_left,PACENOTE,CORNERS,RBR,Numeric.ini,1,,square_left.ogg
descriptive,2,three_left,PACENOTE,CORNERS,RBR,Numeric.ini,1,,kleft.ogg
descriptive,9,three_right,PACENOTE,CORNERS,RBR,Numeric.ini,1,,kright.ogg
descriptive,10,square_right,PACENOTE,CORNERS,RBR,Numeric.ini,1,,square_right.ogg
descriptive,11,one_right,PACENOTE,CORNERS,RBR,Numeric.ini,1,,hairpin_right.ogg
descriptive,12,twisty,PACENOTE,LINE,RBR,Extended.ini,1,,twisty.ogg
descriptive,14,narrows,PACENOTE,ADDITIONAL,RBR,Extended.ini,1,,narrows.ogg
descriptive,15,wideout,PACENOTE,ADDITIONAL,RBR,Extended.ini,1,,wideout.ogg
descriptive,16,overcrest,PACENOTE,OBSTACLES,RBR,Extended.ini,1,,overcrest.ogg
descriptive,17,ford,PACENOTE,OBSTACLES,RBR,Extended.ini,1,,ford.ogg
descriptive,18,care,PACENOTE,CAUTIONS,RBR,Extended.ini,1,,care.ogg
descriptive,19,bump,PACENOTE,OBSTACLES,RBR,Extended.ini,1,,bump.ogg
descriptive,20,jump,PACENOTE,OBSTACLES,RBR,Extended.ini,1,,jump.ogg
descriptive,22,finish,PACENOTE,LINKS,RBR,Extended.ini,1,,finish.ogg
descriptive,25,flat_right,PACENOTE,CORNERS,RBR,Numeric.ini,1,,flat_right.ogg
descriptive,26,flat_left,PACENOTE,CORNERS,RBR,Numeric.ini,1,,flat_left.ogg
descriptive,27,bridge,PACENOTE,OBSTACLES,RBR,Extended.ini,1,,bridge.ogg
descriptive,28,gostraight,PACENOTE,LINE,RBR,Extended.ini,1,,gostraight.ogg
descriptive,29,keepright,PACENOTE,LINE,RBR,Extended.ini,1,,keepright.ogg
descriptive,30,keepleft,PACENOTE,LINE,RBR,Extended.ini,1,,keepleft.ogg
descriptive,31,keepmiddle,PACENOTE,LINE,RBR,Extended.ini,1,,keepmiddle.ogg
descriptive,32,caution,PACENOTE,CAUTIONS,RBR,Extended.ini,1,,caution.ogg
descriptive,102,two_left,PACENOTE,CORNERS,RBR,Numeric.ini,1,,slowleft.ogg
descriptive,112,two_right,PACENOTE,CORNERS,RBR,Numeric.ini,1,,slowright.ogg
descriptive,120,left,PACENOTE,CORNERS,RBR,Numeric.ini,1,,left.ogg
descriptive,121,right,PACENOTE,CORNERS,RBR,Numeric.ini,1,,right.ogg
descriptive,122,right_into,PACENOTE,CORNERS,RBR,Numeric.ini,1,,right_into.ogg
descriptive,123,left_into,PACENOTE,CORNERS,RBR,Numeric.ini,1,,left_into.ogg
descriptive,124,right_left,PACENOTE,CORNERS,RBR,Numeric.ini,1,,right_left.ogg
descriptive,125,left_right,PACENOTE,CORNERS,RBR,Numeric.ini,1,,left_right.ogg
descriptive,126,right_around,PACENOTE,CORNERS,RBR,Numeric.ini,1,,right_around.ogg
descriptive,127,left_around,PACENOTE,CORNERS,RBR,Numeric.ini,1,,left_around.ogg
descriptive,200,over_bridge,PACENOTE,OBSTACLES,RBR,Extended.ini,1,,over_bridge.ogg
descriptive,201,over_rails,PACENOTE,OBSTACLES,RBR,Extended.ini,1,,over_rails.ogg
descriptive,202,over_railway,PACENOTE,OBSTACLES,RBR,Extended.ini,1,,over_railway.ogg
descriptive,211,deepcut,PACENOTE,LINE,RBR,Extended.ini,1,,deepcut.ogg
descriptive,212,fullcut,PACENOTE,LINE,RBR,Extended.ini,1,,fullcut.ogg
descriptive,214,full,PACENOTE,DRIVING,RBR,Extended.ini,1,,full.ogg
descriptive,215,go_full,PACENOTE,DRIVING,RBR,Extended.ini,1,,go_full.ogg
descriptive,216,flatout,PACENOTE,DRIVING,RBR,Extended.ini,1,,flatout.ogg
descriptive,217,brake,PACENOTE,CAUTIONS,RBR,Extended.ini,1,,brake.ogg
descriptive,218,light_cut,PACENOTE,LINE,RBR,Extended.ini,1,,light_cut.ogg
descriptive,219,handbrake,PACENOTE,DRIVING,RBR,Extended.ini,1,,handbrake.ogg
descriptive,220,keep_in,PACENOTE,LINE,RBR,Extended.ini,1,,keep_in.ogg
